uid,days,date,time.first.trial,lat.totouch.s.day,success
1,1,10-Jun-18,7:53,6,0
1,2,12-Jun-18,10:03,13,0
1,3,13-Jun-18,8:17,48,0
1,4,15-Jun-18,11:23,NA,0
1,5,24-Jun-18,8:09,68,0
1,6,25-Jun-18,9:52,15,0
1,7,26-Jun-18,7:16,24,0
34,1,3-Jun-18,7:33,17,0
34,2,4-Jun-18,7:55,22,0
34,3,5-Jun-18,8:41,3,0
34,4,7-Jun-18,7:57,93,0
34,5,8-Jun-18,7:46,9,0
34,6,18-Jun-18,8:23,23,0
34,7,20-Jun-18,8:04,91,0
34,8,21-Jun-18,7:26,122,0
2,1,10-Jun-18,8:08,4,0
2,2,13-Jun-18,8:30,1,0
2,3,15-Jun-18,9:58,3,0
14,1,3-Jun-18,8:21,16,0
14,2,18-Jun-18,7:48,263,0
14,3,19-Jun-18,7:50,5,1
14,4,21-Jun-18,7:26,17,0
14,5,22-Jun-18,7:17,83,0
5,1,14-Jun-18,9:52,6,0
5,2,15-Jun-18,6:45,4,0
5,3,24-Jun-18,7:44,259,0
5,4,25-Jun-18,7:07,132,0
5,5,26-Jun-18,6:46,94,
26,1,8-Jun-18,7:16,3,0
41,2,20-Jun-18,7:25,3,0
41,3,21-Jun-18,7:54,1,0
41,4,22-Jun-18,7:43,1,0
40,1,21-Jun-18,8:11,2,1
40,2,22-Jun-18,7:48,1,1
24,1,3-Jun-18,7:22,2,0
24,2,4-Jun-18,8:29,6,0
24,3,5-Jun-18,7:47,3,0
24,4,6-Jun-18,7:35,NA,0
24,5,8-Jun-18,7:24,4,0
24,6,18-Jun-18,8:21,1,0
24,7,19-Jun-18,7:19,404,0
24,8,21-Jun-18,7:10,1,0
24,9,22-Jun-18,7:38,130,0
9,1,12-Jun-18,7:40,2,
9,2,14-Jun-18,10:27,NA,0
9,3,24-Jun-18,11:00,10,0
9,4,25-Jun-18,10:30,88,0
6,1,10-Jun-18,7:12,17,0
6,2,13-Jun-18,7:41,6,0
6,3,14-Jun-18,8:39,2,0
6,4,15-Jun-18,7:41,3,1
6,5,24-Jun-18,9:16,1,0
6,6,25-Jun-18,8:08,2,1
6,7,26-Jun-18,7:49,228,0
25,1,3-Jun-18,8:06,4,0
25,2,4-Jun-18,7:30,80,0
25,3,5-Jun-18,8:57,4,0
25,4,6-Jun-18,7:35,102,0
25,5,7-Jun-18,8:23,8,0
25,6,8-Jun-18,7:35,16,0
25,7,18-Jun-18,9:07,7,0
25,8,19-Jun-18,8:14,95,0
