uid,col,location,trial,success,date,time,second,all_time,camera,obs,N_On.plywood,N_Lid.Other,N_Door.Nose,N_Door.Bite,N_Door.Paw,N_Lid.Paw,N_Offside.Other,N_Offside.Bite,N_Offside.Paw,N_Lid.Bite,N_Lid.Nose,N_Other,N_Rear.look,N_Stand.look,N_Off.plywood,N_Offside.Nose,N_Door.Other,N_Walk,N_Stand.forage.near,N_Chew.plywood,N_Stand.forage.at,TT_On.plywood,TT_Lid.Other,TT_Door.Nose,TT_Door.Bite,TT_Door.Paw,TT_Lid.Paw,TT_Offside.Other,TT_Offside.Bite,TT_Offside.Paw,TT_Lid.Bite,TT_Lid.Nose,TT_Other,TT_Rear.look,TT_Stand.look,TT_Off.plywood,TT_Offside.Nose,TT_Door.Other,TT_Walk,TT_Stand.forage.near,TT_Chew.plywood,TT_Stand.forage.at,PropIS_On.plywood,PropIS_Lid.Other,PropIS_Door.Nose,PropIS_Door.Bite,PropIS_Door.Paw,PropIS_Lid.Paw,PropIS_Offside.Other,PropIS_Offside.Bite,PropIS_Offside.Paw,PropIS_Lid.Bite,PropIS_Lid.Nose,PropIS_Other,PropIS_Rear.look,PropIS_Stand.look,PropIS_Off.plywood,PropIS_Offside.Nose,PropIS_Door.Other,PropIS_Walk,PropIS_Stand.forage.near,PropIS_Chew.plywood,PropIS_Stand.forage.at
1,tw,doctorslog,1,0,10-Jun-18,7:53,,,12,CW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,472,906,994,0,1438,0,0,0,0.0558,0,0,0,0,0,0,0,0,0,0,0,0,0.1523,NA,0.3207,0,0.464,0,0,0
1,tw,doctorslog,2,0,10-Jun-18,8:06,,,12,CW,1,0,3,0,0,0,0,0,0,0,0,14,0,16,1,7,0,28,0,0,0,104,0,5328,0,0,0,0,0,0,0,0,15045,0,31414,680,5349,0,12053,0,0,0,0.0015,0,0.0769,0,0,0,0,0,0,0,0,0.217,0,0.4532,NA,0.0772,0,0.1739,0,0,0
1,tw,doctorslog,3,0,10-Jun-18,8:16,,,12,CW,1,0,1,0,0,0,0,0,1,0,0,7,0,7,1,3,0,12,0,0,0,92,0,824,0,0,0,0,0,699,0,0,12691,0,7504,500,4156,0,4487,0,0,0,0.003,0,0.027,0,0,0,0,0,0.0229,0,0,0.4161,0,0.246,NA,0.1363,0,0.1471,0,0,0
1,tw,doctorslog,4,0,10-Jun-18,8:18,,,12,CW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,2418,0,0,0,770,0,0,0,0.0554,0,0,0,0,0,0,0,0,0,0,0,0,0.7164,NA,0,0,0.2281,0,0,0
1,tw,doctorslog,5,0,10-Jun-18,8:58,,,12,CW,0,0,2,1,0,0,0,0,0,0,0,5,0,1,1,3,0,13,0,0,0,0,0,898,2227,0,0,0,0,0,0,0,3085,0,2205,845,2871,0,7771,0,0,0,0,0,0.0469,0.1163,0,0,0,0,0,0,0,0.1611,0,0.1151,NA,0.1499,0,0.4057,0,0,0
1,tw,doctorslog,6,0,10-Jun-18,10:37,,,6,CW,1,0,0,0,0,0,0,0,0,0,0,5,0,4,1,1,0,7,0,0,0,320,0,0,0,0,0,0,0,0,0,0,15200,0,3646,908,442,0,5287,0,0,0,0.0128,0,0,0,0,0,0,0,0,0,0,0.6058,0,0.1453,NA,0.0176,0,0.2107,0,0,0
1,tw,doctorslog,8,0,13-Jun-18,8:17,Trial 2,,6,GK,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,1795,0,0,0,0,0,0,0,0,0,0,6562,0,2071,3713,0,0,1026,11734,0,0,0.0766,0,0,0,0,0,0,0,0,0,0,0.2802,0,0.0884,NA,0,0,0.0438,0.501,0,0
1,tw,doctorslog,7,0,13-Jun-18,8:17,Trial 1,,6,GK,1,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,5,3,0,0,960,0,0,0,0,0,0,0,0,0,0,3847,0,15361,3516,0,0,8660,12106,0,0,0.0232,0,0,0,0,0,0,0,0,0,0,0.0931,0,0.3716,NA,0,0,0.2095,0.2929,0,0
1,tw,doctorslog,10,0,13-Jun-18,8:18,Trial 2,,10,GK,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1086,0,0,0,0,0,0,0,0,0,0,5262,0,1267,1696,0,0,0,8906,0,0,0.0657,0,0,0,0,0,0,0,0,0,0,0.3182,0,0.0766,NA,0,0,0,0.5385,0,0
1,tw,doctorslog,9,0,13-Jun-18,8:18,Trial 1,,10,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,3,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,10498,3092,0,0,7396,15847,0,0,0.0194,0,0,0,0,0,0,0,0,0,0,0,0,0.3049,NA,0,0,0.2148,0.4603,0,0
