"","col","uid","indegree","outdegree","betweenness","outcloseness","incloseness","local_clustering","eigenvector","outstrength","instrength"
"1","a","X44","0.333333333333333","0.333333333333333","0","0.0882352941176471","0.0857142857142857","0","0.577350269189626","3","7"
"2","a","X45","1","1","1","0.09375","0.176470588235294","0","1","32","17"
"3","a","X46","0.333333333333333","0.333333333333333","0","0.0967741935483871","0.05","0","0.577350269189626","5","16"
"4","a","X47","0.333333333333333","0.333333333333333","0","0.06","0.0857142857142857","0","0.577350269189626","9","9"
"5","b","X59","1","1","NaN","0.125","1","0","1","8","1"
"6","b","X60","1","1","NaN","1","0.125","0","1","1","8"
"7","br","X50","0.6","0.5","0.133333333333333","0.208333333333333","0.153846153846154","0.109090909090909","1","34","40"
"8","br","X49","0.5","0.5","0.592592592592593","0.24390243902439","0.147058823529412","0.133333333333333","0.961624967112652","31","40"
"9","br","X51","0.2","0.4","0","0.149253731343284","0.0961538461538462","0.333333333333333","0.753705068705126","19","20"
"10","br","X53","0.2","0.2","0.0148148148148148","0.196078431372549","0.147058823529412","0.5","0.537217381707778","4","4"
"11","br","X54","0.1","0.2","0","0.147058823529412","0.117647058823529","0","0.307353224813181","8","4"
"12","br","X48","0.3","0.3","0.340740740740741","0.117647058823529","0.151515151515152","0.2","0.698225826681615","26","7"
"13","br","X57","0.1","0","0","0.0909090909090909","0.144927536231884","NaN","0.102013500342458","0","2"
"14","br","X58","0.1","0.2","0.17037037037037","0.232558139534884","0.144927536231884","0.333333333333333","0.432704890096461","3","1"
"15","br","X52","0.2","0.1","0.311111111111111","0.108695652173913","0.181818181818182","0","0.170788077355514","1","4"
"16","br","X56","0.3","0.2","0.222222222222222","0.10989010989011","0.169491525423729","0","0.103662346238757","3","6"
"17","br","X55","0.1","0.1","0","0.10989010989011","0.131578947368421","0","0.0302909413814896","1","2"
"18","mm","X14","0.727272727272727","0.727272727272727","0.331818181818182","0.166666666666667","0.157142857142857","0.208333333333333","0.991447663210186","52","71"
"19","mm","X12","0.636363636363636","0.636363636363636","0","0.144736842105263","0.134146341463415","0.230769230769231","0.918959597358557","185","205"
"20","mm","X19","0.0909090909090909","0.181818181818182","0.240909090909091","0.094017094017094","0.0901639344262295","0","0.0605675949402074","7","2"
"21","mm","X20","0.0909090909090909","0.272727272727273","0.35","0.186440677966102","0.0873015873015873","0.166666666666667","0.143510867402554","5","6"
"22","mm","X21","0.818181818181818","0.727272727272727","0.0590909090909091","0.125","0.102803738317757","0.191176470588235","1","131","121"
"23","mm","X15","0.636363636363636","0.727272727272727","0.0984848484848485","0.129411764705882","0.10377358490566","0.20952380952381","0.926577583408526","198","184"
"24","mm","X13","0.727272727272727","0.727272727272727","0.154545454545455","0.122222222222222","0.117021276595745","0.216666666666667","0.96282161633434","265","134"
"25","mm","X16","0.727272727272727","0.727272727272727","0","0.0894308943089431","0.207547169811321","0.208333333333333","0.991447663210186","117","152"
"26","mm","X17","0.545454545454545","0.363636363636364","0.213636363636364","0.088","0.166666666666667","0.222222222222222","0.608186128678338","42","58"
"27","mm","X18","0.636363636363636","0.636363636363636","0","0.134146341463415","0.120879120879121","0.230769230769231","0.918959597358558","144","198"
"28","mm","X22","0.818181818181818","0.727272727272727","0.281818181818182","0.11340206185567","0.17741935483871","0.191176470588235","1","105","120"
"29","mm","X23","0.0909090909090909","0.0909090909090909","0.107575757575758","0.125","0.10377358490566","1","0.127832171809887","1","1"
"30","npk","X38","0.333333333333333","0.333333333333333","0","0.0454545454545455","0.0348837209302326","0","0.460811127189111","21","27"
"31","npk","X39","1","1","0.666666666666667","0.1","0.115384615384615","0.0666666666666667","1","32","26"
"32","npk","X40","0.666666666666667","0.666666666666667","0","0.0833333333333333","0.115384615384615","0.166666666666667","0.854637679718461","6","5"
"33","npk","X41","0.666666666666667","0.666666666666667","0.666666666666667","0.09375","0.115384615384615","0.166666666666667","0.854637679718461","3","4"
"34","pc","X24","0.428571428571429","0.357142857142857","0.221978021978022","0.141414141414141","0.197183098591549","0.2","0.881544289453237","19","22"
"35","pc","X25","0.571428571428571","0.5","0.525798011512297","0.137254901960784","0.225806451612903","0.123809523809524","1","66","62"
"36","pc","X26","0.142857142857143","0.214285714285714","0","0.113821138211382","0.194444444444444","0.1","0.257014610822496","8","5"
"37","pc","X27","0.357142857142857","0.357142857142857","0.547776033490319","0.133333333333333","0.21875","0.0444444444444444","0.284389492855178","25","12"
"38","pc","X28","0.571428571428571","0.5","0.235792778649922","0.113821138211382","0.194444444444444","0.123809523809524","0.995538911949085","70","88"
"39","pc","X29","0.357142857142857","0.357142857142857","0.0769230769230769","0.113821138211382","0.141414141414141","0.266666666666667","0.840510044132124","115","81"
"40","pc","X30","0.357142857142857","0.428571428571429","0","0.135922330097087","0.112","0.2","0.842914646268222","84","93"
"41","pc","X31","0.214285714285714","0.142857142857143","0.0417582417582418","0.0903225806451613","0.179487179487179","0.3","0.470331079221675","10","8"
"42","pc","X32","0.0714285714285714","0.142857142857143","0","0.111111111111111","0.0927152317880795","0.333333333333333","0.0613965153027725","10","7"
"43","pc","X33","0.142857142857143","0.142857142857143","0.274725274725275","0.147368421052632","0.0721649484536082","0.166666666666667","0.0619313193945287","2","14"
"44","pc","X34","0.285714285714286","0.285714285714286","0.021978021978022","0.11965811965812","0.0958904109589041","0.357142857142857","0.724012548508761","20","35"
"45","pc","X35","0.142857142857143","0.0714285714285714","0","0.120689655172414","0.168674698795181","0.333333333333333","0.0803869046947465","1","6"
"46","pc","X36","0","0.142857142857143","0.234118262689691","0.153846153846154","0.0666666666666667","1","0.194255800726747","2","0"
"47","pc","X63","0.0714285714285714","0","0","0.0666666666666667","0.0725388601036269","NaN","0.0060287063143748","0","1"
"48","pc","X37","0.0714285714285714","0.142857142857143","0.00732600732600733","0.135922330097087","0.0875","0.333333333333333","0.249921065406329","5","3"
"49","ra","X42","1","1","NaN","0.0144927536231884","0.00826446280991736","0","1","69","121"
"50","ra","X43","1","1","NaN","0.00826446280991736","0.0144927536231884","0","1","121","69"
"51","tw","X1","0.4","0.4","0","0.2","0.103092783505155","0.178571428571429","0.806600669498121","38","70"
"52","tw","X2","0.3","0.5","0.2","0.0763358778625954","0.0609756097560976","0.142857142857143","0.661305336164683","67","28"
"53","tw","X3","0.4","0.4","0","0.192307692307692","0.12987012987013","0.178571428571429","0.806600669498121","33","49"
"54","tw","X4","0.3","0.4","0","0.212765957446809","0.0813008130081301","0.238095238095238","0.705263064271086","46","34"
"55","tw","X5","0.2","0.1","0","0.0306748466257669","0.0813008130081301","0.333333333333333","0.181774853332053","20","15"
"56","tw","X6","0.3","0.2","0.355555555555556","0.0714285714285714","0.217391304347826","0.1","0.384450063786122","24","24"
"57","tw","X7","0.8","0.7","0.9","0.204081632653061","0.147058823529412","0.0571428571428571","1","20","25"
"58","tw","X8","0.3","0.3","0","0.138888888888889","0.102040816326531","0.2","0.4721370807297","16","39"
"59","tw","X9","0.2","0.3","0","0.105263157894737","0.126582278481013","0.3","0.428694233710808","13","4"
"60","tw","X10","0.3","0.2","0","0.151515151515152","0.10989010989011","0.3","0.428694233710808","34","18"
"61","tw","X11","0.1","0.1","0","0.188679245283019","0.078740157480315","0","0.254194041263274","1","6"
