"","col","uid","indegree","outdegree","betweenness","outcloseness","incloseness","local_clustering","eigenvector","outstrength","instrength"
"1","a","X44","0.5","0.5","0","0.4","0.5","0","0.948683298050513","2","1"
"2","a","X45","0.5","1","1","1","0.4","0","1","2","2"
"3","a","X47","0.5","0","0","0.333333333333333","0.5","NaN","0.316227766016838","0","1"
"4","b","X59","0","1","NaN","1","0.5","NaN","1","1","0"
"5","b","X60","1","0","NaN","0.5","1","NaN","1","0","1"
"6","br","X51","0.5","0.25","0","0.25","0.307692307692308","0.333333333333333","1","1","3"
"7","br","X50","0.5","0.25","0.111111111111111","0.25","0.333333333333333","0.333333333333333","0.843070330817254","1","2"
"8","br","X49","0","0.5","0","0.307692307692308","0.2","1","0.843070330817254","3","0"
"9","br","X56","0","0.25","0","0.235294117647059","0.2","NaN","0","2","0"
"10","br","X52","0.25","0","0","0.2","0.235294117647059","NaN","0","0","2"
"11","mm","X17","0.4","0.2","0.131481481481481","0.222222222222222","0.333333333333333","0.333333333333333","0.222324152278935","6","6"
"12","mm","X18","0.3","0.3","0.118518518518519","0.25","0.3125","0.466666666666667","0.203027768033591","3","6"
"13","mm","X13","0.5","0.3","0.277777777777778","0.238095238095238","0.303030303030303","0.392857142857143","0.337667243161352","3","13"
"14","mm","X14","0.3","0.9","0.257407407407407","0.204081632653061","0.357142857142857","0.272727272727273","1","58","3"
"15","mm","X12","0.1","0.2","0.0111111111111111","0.303030303030303","0.126582278481013","0.666666666666667","0.264990838885709","2","6"
"16","mm","X21","0.4","0.2","0.0240740740740741","0.227272727272727","0.303030303030303","0.8","0.421953157389542","2","13"
"17","mm","X15","0.4","0.2","0.0111111111111111","0.192307692307692","0.333333333333333","0.8","0.213163516826471","4","6"
"18","mm","X20","0.1","0","0","0.0909090909090909","0.27027027027027","NaN","0.0738183150010401","0","2"
"19","mm","X16","0.2","0.4","0.111111111111111","0.27027027027027","0.125","0.6","0.749403726678941","6","19"
"20","mm","X22","0.4","0.2","0.0907407407407407","0.232558139534884","0.303030303030303","0.666666666666667","0.430138068117526","2","14"
"21","mm","X19","0","0.2","0.0148148148148148","0.277777777777778","0.0909090909090909","1","0.0451149546531529","2","0"
"22","npk","X39","0","1","NaN","0.333333333333333","0.5","NaN","1","3","0"
"23","npk","X38","1","0","NaN","0.5","0.333333333333333","NaN","1","0","3"
"24","pc","X25","0.272727272727273","0.636363636363636","0.863636363636364","0.523809523809524","0.127906976744186","0.0666666666666667","1","10","7"
"25","pc","X24","0.0909090909090909","0.181818181818182","0.181818181818182","0.244444444444444","0.112244897959184","0","0.704001731624092","4","3"
"26","pc","X31","0.0909090909090909","0.0909090909090909","0.0545454545454545","0.196428571428571","0.126436781609195","1","0.152330520654942","1","1"
"27","pc","X29","0.181818181818182","0.0909090909090909","0.00909090909090909","0.224489795918367","0.125","0.666666666666667","0.31590226442891","1","3"
"28","pc","X28","0.181818181818182","0.181818181818182","0.0545454545454545","0.261904761904762","0.132530120481928","0.333333333333333","0.57658094969876","5","2"
"29","pc","X26","0.0909090909090909","0","0","0.0833333333333333","0.119565217391304","NaN","0.0814961363158837","0","1"
"30","pc","X34","0.181818181818182","0.181818181818182","0.181818181818182","0.282051282051282","0.123595505617978","0.166666666666667","0.554957859316741","3","4"
"31","pc","X30","0.0909090909090909","0","0","0.0833333333333333","0.132530120481928","NaN","0.0642426279948378","0","1"
"32","pc","X35","0.181818181818182","0.0909090909090909","0","0.0990990990990991","0.171875","0.333333333333333","0.0180680920254453","1","2"
"33","pc","X27","0.0909090909090909","0.181818181818182","0","0.1","0.154929577464789","0.333333333333333","0.0180680920254453","2","1"
"34","pc","X32","0.181818181818182","0.0909090909090909","0.327272727272727","0.0990990990990991","0.186440677966102","0.333333333333333","0.119944443179749","1","2"
"35","pc","X37","0.0909090909090909","0","0","0.0833333333333333","0.1375","NaN","0.115761272529653","0","1"
"36","ra","X43","1","1","NaN","0.25","1","0","1","4","1"
"37","ra","X42","1","1","NaN","1","0.25","0","1","1","4"
"38","tw","X2","0.1","0.3","0","0.120481927710843","0.138888888888889","0.5","0.820990819505607","11","1"
"39","tw","X1","0.3","0.2","0","0.116279069767442","0.142857142857143","0.3","1","5","13"
"40","tw","X4","0.3","0.3","0.222222222222222","0.121951219512195","0.147058823529412","0.2","0.621112304310102","5","5"
"41","tw","X3","0.3","0.1","0","0.10752688172043","0.147058823529412","0.5","0.617771050610826","3","6"
"42","tw","X7","0.1","0.2","0.177777777777778","0.153846153846154","0.1","0.333333333333333","0.049324734263506","2","1"
"43","tw","X9","0","0.1","0","0.1","0.0909090909090909","NaN","6.50425078093668e-18","1","0"
"44","tw","X11","0.1","0","0","0.0909090909090909","0.1","NaN","0","0","1"
"45","tw","X8","0.2","0","0","0.0909090909090909","0.111111111111111","1","0.00419344452690633","0","2"
"46","tw","X6","0.1","0.1","0","0.1","0.099009900990099","0","0","1","2"
"47","tw","X5","0.1","0.1","0","0.099009900990099","0.1","0","0","2","1"
"48","tw","X10","0","0.2","0","0.169491525423729","0.0909090909090909","1","0.00419344452690632","2","0"
