col,uid_ini,uid_rec,uid_win,interac_type,sexi,sexr
a,44,45,44,sit_<1m,M,F
a,44,45,44,disp_proximity,M,F
a,46,45,45,greet,M,F
a,45,46,45,greet,F,M
a,46,45,NA,sit_bc,M,F
a,45,46,46,sit_bc,F,M
a,45,46,46,allogroom,F,M
a,45,46,46,sit_<1m,F,M
a,45,46,46,sit_bc,F,M
a,46,45,46,allogroom,M,F
a,45,46,46,sit_bc,F,M
a,47,45,45,play_box,M,F
a,45,47,NA,play_pounce,F,M
a,47,45,NA,play_wrestle,M,F
a,47,45,45,play_wrestle,M,F
a,45,47,45,play_chase,F,M
a,45,47,45,sit_bc,F,M
a,45,47,NA,allogroom,F,M
a,47,45,47,sit_bc,M,F
a,45,47,45,play_bite,F,M
a,45,47,NA,allogroom,F,M
a,47,45,47,play_bite,M,F
a,47,45,47,play_box,M,F
a,47,45,NA,play_wrestle,M,F
a,45,47,NA,play_bite,F,M
a,45,47,NA,play_pounce,F,M
a,45,47,45,disp_proximity,F,M
a,47,45,NA,sit_<1m,M,F
a,47,45,NA,sit_bc,M,F
a,45,NA,NA,sit_bc,F,NA
a,NA,45,NA,sit_<1m,NA,F
a,45,44,45,sit_bc,F,M
a,45,44,45,fg_tog,F,M
a,45,44,45,disp_simple,F,M
a,44,45,45,sit_bc,M,F
a,45,44,45,sit_bc,F,M
a,44,45,44,sit_<1m,M,F
a,45,44,NA,sit_<1m,F,M
a,45,44,NA,greet,F,M
a,45,44,44,allogroom,F,M
a,45,44,44,sit_<1m,F,M
a,44,45,44,disp_simple,M,F
a,45,NA,NA,sit_bc,F,NA
a,45,NA,NA,fg_tog,F,NA
a,45,47,NA,sit_bc,F,M
a,46,45,NA,sit_<1m,M,F
a,45,46,NA,sit_<1m,F,M
a,45,46,NA,allogroom,F,M
a,45,46,NA,sit_<1m,F,M
a,45,46,NA,sit_bc,F,M
a,45,46,NA,sit_<1m,F,M
a,45,46,NA,allogroom,F,M
a,46,45,NA,sit_<1m,M,F
a,45,46,NA,allogroom,F,M
a,45,46,NA,allogroom,F,M
a,45,46,NA,sit_<1m,F,M
a,45,46,NA,sit_<1m,F,M
b,59,60,60,sit_<1m,M,F
b,59,60,60,sit_<1m,M,F
b,59,60,60,sit_bc,M,F
b,59,60,60,sit_<1m,M,F
b,59,60,60,sit_bc,M,F
b,59,60,60,sit_<1m,M,F
b,59,60,60,sit_<1m,M,F
b,60,59,60,sit_bc,F,M
b,59,60,59,agr_mouthspar,M,F
b,59,60,60,sit_bc,M,F
b,59,NA,NA,allogroom,M,NA
br,NA,50,NA,greet,NA,F
br,NA,NA,NA,sit_bc,NA,NA
br,51,NA,51,sit_bc,F,NA
br,NA,NA,NA,sit_bc,NA,NA
br,51,NA,51,sit_<1m,F,NA
br,NA,51,51,sit_<1m,NA,F
br,50,49,50,sit_<1m,F,M
br,50,49,50,sit_<1m,F,M
br,NA,54,54,sit_bc,NA,F
br,51,53,NA,play_grab/slap/push,F,F
br,51,53,NA,play_box,F,F
br,51,53,NA,play_grab/slap/push,F,F
br,53,50,50,sit_<1m,F,F
br,NA,50,50,greet,NA,F
br,NA,50,50,sit_<1m,NA,F
br,50,NA,50,allogroom,F,NA
br,NA,54,54,sit_<1m,NA,F
br,50,54,NA,sit_<1m,F,F
br,NA,51,51,greet,NA,F
br,NA,51,NA,play_wrestle,NA,F
br,NA,51,51,play_pounce,NA,F
br,50,NA,NA,sit_bc,F,NA
br,48,57,NA,greet,M,M
br,48,57,NA,greet,M,M
br,NA,NA,NA,play_wrestle,NA,NA
br,50,58,NA,play_chase,F,M
br,50,51,NA,play_wrestle,F,F
br,51,50,51,disp_proximity,F,F
br,NA,51,NA,disp_simple,NA,F
br,50,NA,NA,disp,F,NA
br,54,50,NA,sit_<1m,F,F
br,50,54,NA,sit_<1m,F,F
br,48,NA,48,sit_bc,M,NA
br,48,NA,48,sit_bc,M,NA
br,48,NA,48,sit_bc,M,NA
br,NA,NA,NA,disp_simple,NA,NA
br,NA,NA,NA,sit_<1m,NA,NA
br,51,NA,51,sit_<1m,F,NA
br,NA,51,51,sit_<1m,NA,F
br,51,NA,51,sit_<1m,F,NA
br,NA,51,NA,sit_<1m,NA,F
br,50,51,50,disp_proximity,F,F
br,51,50,51,play_chase,F,F
br,51,50,51,play_grab/slap/push,F,F
br,51,50,NA,fg_tog,F,F
br,50,51,50,play_grab/slap/push,F,F
br,50,51,51,play_grab/slap/push,F,F
br,49,NA,49,play_grab/slap/push,M,NA
br,49,50,49,play_mount,M,F
br,50,49,49,play_wrestle,F,M
br,49,50,49,play_wrestle,M,F
br,48,NA,48,play_grab/slap/push,M,NA
br,48,49,NA,play_grab/slap/push,M,M
br,NA,NA,NA,sit_<1m,NA,NA
br,50,51,51,greet,F,F
br,50,51,50,play_wrestle,F,F
br,50,49,50,sniff_ag,F,M
