uid,sex,agecat,col,success
1,F,Y,tw,0
2,M,Y,tw,0
3,F,Y,tw,0
4,M,Y,tw,0
5,F,A,tw,1
6,F,Y,tw,1
7,M,A,tw,0
8,F,Y,tw,1
9,F,A,tw,0
12,M,Y,mm,0
13,M,Y,mm,0
14,F,A,mm,1
15,M,Y,mm,0
16,F,Y,mm,0
17,F,A,mm,0
18,M,Y,mm,0
19,F,A,mm,0
20,F,A,mm,0
21,F,Y,mm,0
22,F,Y,mm,0
23,F,A,mm,1
24,F,A,pc,0
25,M,A,pc,1
26,F,A,pc,0
29,M,Y,pc,0
30,M,Y,pc,0
34,F,A,pc,0
40,F,A,npk,1
41,M,A,npk,0
42,F,A,ra,0
43,F,A,ra,0
45,F,Y,a,0
47,M,Y,a,0
48,,Y,br,0
49,M,Y,br,0
50,F,Y,br,0
51,F,Y,br,0
53,F,Y,br,0
54,F,A,br,0
58,M,A,br,0
59,M,A,b,1
60,F,A,b,1
61,M,A,mm,0
69,M,Y,a,0
